;Chinese-English
查找|Search
上一个|Prev
保存并加载|Save and Load
另存为|Save as
取消|Cancel
文件路径：|Path:
日常维护说明|Daily Maintenance Instruction
1、每次工作前后对设备吹灰，清理各轴导轨及齿条灰尘|1. Blow dust off the equipment before and after each work, and clean the dust on the guide rails and racks.
2、每 3 天摇动摇杆 3 至 5 次对 Y/Z 轴进行润滑|2. Shake the rocker 3 to 5 times every 3 days and lubricate Y / Z axis.
3、每天对设备气源处理器的空气过滤器进行排水|3. Drain the air filter of air source processor daily.
4、设备自带的热机程序每天开机至少运行一次|4. Run the built-in heating program at least once a day when machine is started.
5、每周一次对储气罐进行排水|5. Drain the gas tank once a week.
6、每5-7天定期做一次钻轴清洁|6. Do a regular cleaning of drill shaft every 5-7 days.
7、每周对未连接油管的滑块用手动黄油枪添加0#机械润滑脂|7. Add 0 # mechanical grease to the slider unconnected to oil pipe with a manual grease gun every week.
8、气排钻每80-120个工作小时注入润滑脂，润滑脂型号(KLUBER ISOFLEX TOPAS L32N)请勿注入其它型号润滑脂|8. Fill the phneumatic drill head with grease every 80-120 working hours. Grease model (KLUBER ISOFLEX TOPAS L32N) Do not inject other models of grease.
9、真空泵每工作500小时后在运转时向滚动轴承的两处油嘴上注入高温润滑油脂15克（KLUBER）|9. After every 500 hours of operation of the vacuum pump, 15 grams of high-temperature lubricating grease (KLUBER) needs to be injected into the two nipples of the rolling bearing during operation.
10、禁止客户私自拆改机器, 因私自拆改或未使用原厂配件造成机器的损坏由客户自行承担责任|10. It is forbidden for the customer to dismantle and modify the machine without permission. The customer shall bear the responsibility for the damage caused by the unauthorized disassembly or the disuse of original accessories.
警告:一切维护保养工作须在断电的状态下进行!|Warning: all maintenance work must be carried out when power off !
对刀仪信号|Tool Setting Gauge Signal
对刀仪极限|Tool Setting Gauge Limit
上料起始位置|Start Position of Loading
上料终点位置|End Position of Loading
推料起始位置|Start Position of Pusher
推料终点位置|End Position of Pusher
推料限制位置|Limit Position of Pusher
侧推位置|Position of Side Pusher
上下料速度|Loading/Unloading Speed
手轮模拟上限|Upper Limit of Handwheel Simulation
推料Y轴位置|Y Position of Pusher
Z轴换刀准备位置|Preparation Position of Y-Axis Tool Change
Z轴换刀位置|Z-Axis Tool Change Position
刀盘转速|Rotation Speed of Cutterhead
Z轴对刀开始位置|Start Position of Z-Axis Tool Setting
Z轴对刀极限位置|Limit Position of Z-Axis Tool Setting
N工位加工负极限|Processing Negative Limit of Section N
N工位加工正极限|Processing Positive Limit of Section N
M工位加工负极限|Processing Negative Limit of Section M
M工位加工正极限|Processing Positive Limit of Section M
M工位X偏移值|X Offset of Section M
M工位Y偏移值|Y Offset of Section M
M工位Z偏移值|Z Offset of Section M
N工位除尘起始位置|Start Position of Section N Dedusting
N工位除尘终点位置|End Position of Section N Dedusting
M工位除尘起点位置|Start Position of Section M Dedusting
M工位除尘终点位置|End Position of Section M Dedusting
对刀仪机械坐标X|Tool Setting Gauge X
对刀仪机械坐标Y|Tool Setting Gauge Y
小板侧推位置|Position of Small Panel Pusher
小板上料终点位置|End Position of Small Panel Loader
最大抓料次数|Max Loading Times
二次抓料位置|Position of 2nd Loading
板长10尺上料终点位置|End Position of Loading 10-Feet-Length Panel
板长9尺上料终点位置|End Position of Loading 9-Feet-Length Panel
板长8尺上料终点位置|End Position of Loading 8-Feet-Length Panel
小板侧推最大行程时间|Max Stroke Time of Small Panel Pusher
预热提醒间隔时间|Warm-up Remind Interval
预热阶段1时间|Time of Preheating Stage 1
预热阶段2时间|Time of Preheating Stage 2
预热阶段3时间|Time of Preheating Stage 3
油泵加油间隔|Lubrication Interval
油泵加油时间|Lubrication Duration
抓料破真空持续时间|Vacuum Break Duration in Loading
压辊1下负限位|Down-Negative Limit of Pressure Roller 1
压辊1下正限位|Down-Positive Limit of Pressure Roller 1
压辊2下负限位|Down-Negative Limit of Pressure Roller 2
压辊2下正限位|Down-Positive Limit of Pressure Roller 2
外部偏移|External Offset
预扫时, 遇到宏是否通知用户处理|When pre-scanning, whether to notify the user when encountering a macro
子程序#变量内容是否保存, 0: 每次执行SNC都会被清除, 1: 保存|Whether to save all # variables of the subroutine. 0: All # variables will be cleared when SNC is executed, 1: Save. (Default)
主、子程序加工平面设定互不干扰, 0: 关闭, 1: 开启|Allow the main program and subroutine to use different working planes. 0: Disable (Default). 1: Enable
允许刀径补正中, 可出现M码, 0: 关闭, 1: 开启|During the tool radius correction, M code can appear, 0: off, 1: on
开启符号功能, 从符号之后的行数开始加工, 0: 关闭, 1: 开启|Enable symbol function, start processing from the number of lines after the symbol, 0: disable, 1: enable
宏工作平面设定, 范围54 ~ 59, 预设为54|Macro work plane setting, range 54-59, default is 54
